time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/14:03:00.847344,$GPGGA,42.34032333333333,-71.09811166666667,2.9,327164.66539263265,4689694.972728505,19,T
2022/02/08/14:03:01.846720,$GPGGA,42.34032333333333,-71.09810999999999,3.0,327164.8026927799,4689694.969340602,19,T
2022/02/08/14:03:02.817476,$GPGGA,42.34032666666667,-71.09810666666667,3.2,327165.086426356,4689695.332706448,19,T
2022/02/08/14:03:03.847639,$GPGGA,42.340331666666664,-71.09810166666666,3.4,327165.51202666864,4689695.877755231,19,T
2022/02/08/14:03:04.818508,$GPGGA,42.34033833333333,-71.098095,3.6,327166.0794936539,4689696.604486987,19,T
2022/02/08/14:03:05.849746,$GPGGA,42.34034333333334,-71.09808666666666,3.9,327166.77969402174,4689697.142760097,19,T
2022/02/08/14:03:06.849324,$GPGGA,42.34035000000001,-71.09807666666667,4.1,327167.6217609517,4689697.862716246,19,T
2022/02/08/14:03:07.849742,$GPGGA,42.34035666666667,-71.09806833333333,4.3,327168.3265276371,4689698.586060325,19,T
2022/02/08/14:03:08.855231,$GPGGA,42.340365000000006,-71.09805833333333,4.6,327169.1731607799,4689699.491087472,19,T
2022/02/08/14:03:09.851137,$GPGGA,42.34037333333334,-71.09804833333332,5.0,327170.019793708,4689700.396114717,19,T
2022/02/08/14:03:10.849847,$GPGGA,42.34038166666666,-71.09803833333334,5.3,327170.8664264193,4689701.301142057,19,T
2022/02/08/14:03:11.854003,$GPGGA,42.34038833333334,-71.09803166666667,5.6,327171.4338924303,4689702.027874223,19,T
2022/02/08/14:03:12.849367,$GPGGA,42.34039333333333,-71.098025,5.9,327171.996791856,4689702.569535607,19,T
2022/02/08/14:03:13.849210,$GPGGA,42.34040166666667,-71.09801833333333,6.1,327172.56882411207,4689703.481338677,19,T
2022/02/08/14:03:14.819577,$GPGGA,42.34040666666667,-71.09801,6.4,327173.26902330446,4689704.019612407,19,T
2022/02/08/14:03:15.818687,$GPGGA,42.340415,-71.098,6.8,327174.1156551752,4689704.924640119,19,T
2022/02/08/14:03:16.828290,$GPGGA,42.340421666666664,-71.09799333333333,7.2,327174.68312057416,4689705.651372531,19,T
2022/02/08/14:03:17.829444,$GPGGA,42.34043,-71.09798500000001,7.4,327175.39245215926,4689706.559788107,19,T
2022/02/08/14:03:18.829484,$GPGGA,42.34043666666666,-71.09797833333333,7.6,327175.95991730154,4689707.286520616,19,T
2022/02/08/14:03:19.823604,$GPGGA,42.340445,-71.09797333333333,8.1,327176.39464880805,4689708.201711671,19,T
2022/02/08/14:03:20.823958,$GPGGA,42.34045166666667,-71.097965,8.5,327177.0994135893,4689708.925056586,19,T
2022/02/08/14:03:21.822451,$GPGGA,42.34046,-71.09795833333332,9.0,327177.67144470697,4689709.836860048,19,T
2022/02/08/14:03:22.827513,$GPGGA,42.340468333333334,-71.09794833333333,9.4,327178.5180753387,4689710.741888264,19,T
2022/02/08/14:03:23.837507,$GPGGA,42.34047833333334,-71.09793833333333,9.6,327179.3692720452,4689711.8319874015,19,T
2022/02/08/14:03:24.824221,$GPGGA,42.34048833333333,-71.09792666666667,9.8,327180.3577682813,4689712.918699025,19,T
2022/02/08/14:03:25.827521,$GPGGA,42.34049666666667,-71.09791666666666,10.1,327181.2043982085,4689713.82372755,19,T
2022/02/08/14:03:26.827712,$GPGGA,42.340505,-71.09790666666666,10.3,327182.05102792307,4689714.72875617,19,T
2022/02/08/14:03:27.831596,$GPGGA,42.34051666666666,-71.09789833333333,9.9,327182.76949010295,4689716.007314094,19,T
2022/02/08/14:03:28.823813,$GPGGA,42.34052833333333,-71.09788833333333,9.7,327183.62525173224,4689717.2824845435,19,T
2022/02/08/14:03:29.826915,$GPGGA,42.34053833333334,-71.09787833333333,9.5,327184.47644690087,4689718.372584265,19,T
2022/02/08/14:03:30.826095,$GPGGA,42.34054833333333,-71.09786666666668,9.3,327185.46494146367,4689719.459296569,19,T
2022/02/08/14:03:31.826602,$GPGGA,42.340558333333334,-71.09785666666667,9.2,327186.3161360951,4689720.549396501,19,T
2022/02/08/14:03:32.830403,$GPGGA,42.34056833333334,-71.097845,9.1,327187.30463008105,4689721.636109052,19,T
2022/02/08/14:03:33.830640,$GPGGA,42.34057666666666,-71.097835,9.1,327188.15125810605,4689722.541138368,19,T
2022/02/08/14:03:34.826137,$GPGGA,42.34058666666667,-71.09782333333332,9.0,327189.1397515397,4689723.627851166,19,T
2022/02/08/14:03:35.832098,$GPGGA,42.34059333333333,-71.09781166666667,9.0,327190.1191126187,4689724.344422443,19,T
2022/02/08/14:03:36.831453,$GPGGA,42.340601666666664,-71.0978,9.0,327191.10303949926,4689725.246064679,19,T
2022/02/08/14:03:37.830374,$GPGGA,42.34061,-71.09779,8.9,327191.9496666107,4689726.151094433,19,T
2022/02/08/14:03:38.831111,$GPGGA,42.34062000000001,-71.09777833333332,8.9,327192.9381589627,4689727.23780774,19,T
2022/02/08/14:03:39.831522,$GPGGA,42.34062833333334,-71.09776666666667,8.8,327193.9220850791,4689728.139450353,19,T
2022/02/08/14:03:40.827157,$GPGGA,42.34063666666666,-71.09775666666665,8.7,327194.768711491,4689729.044480427,19,T
2022/02/08/14:03:41.862862,$GPGGA,42.340646666666665,-71.09774666666667,8.6,327195.6199035709,4689730.134581428,19,T
2022/02/08/14:03:42.827359,$GPGGA,42.340655,-71.097735,8.6,327196.6038289497,4689731.036224398,19,T
2022/02/08/14:03:43.861782,$GPGGA,42.34066500000001,-71.09772500000001,8.6,327197.45502051525,4689732.126325609,19,T
2022/02/08/14:03:44.856186,$GPGGA,42.34067333333334,-71.09771500000001,8.5,327198.30164600385,4689733.031356091,19,T
2022/02/08/14:03:45.826751,$GPGGA,42.34068166666666,-71.09770333333333,8.4,327199.2855706408,4689733.932999417,19,T
2022/02/08/14:03:46.856628,$GPGGA,42.340689999999995,-71.09769166666666,8.3,327200.2694950267,4689734.834642878,19,T
2022/02/08/14:03:47.856297,$GPGGA,42.34069833333333,-71.09768166666666,8.2,327201.1161198368,4689735.7396736825,19,T
2022/02/08/14:03:48.831403,$GPGGA,42.34070666666666,-71.09767000000001,8.1,327202.1000437364,4689736.641317389,19,T
2022/02/08/14:03:49.861026,$GPGGA,42.340715,-71.09765999999999,8.0,327202.9466681009,4689737.546348404,19,T
2022/02/08/14:03:50.861031,$GPGGA,42.34072333333334,-71.09764833333334,7.8,327203.93059151433,4689738.447992355,19,T
2022/02/08/14:03:51.855709,$GPGGA,42.34073166666667,-71.09763833333334,7.7,327204.7772154291,4689739.35302358,19,T
2022/02/08/14:03:52.861004,$GPGGA,42.340740000000004,-71.09762666666667,7.6,327205.76113836246,4689740.254667775,19,T
2022/02/08/14:03:53.832421,$GPGGA,42.34074833333334,-71.09761499999999,7.4,327206.7450610468,4689741.156312103,19,T
2022/02/08/14:03:54.860697,$GPGGA,42.34075833333333,-71.097605,7.3,327207.596249867,4689742.246414478,19,T
2022/02/08/14:03:55.856578,$GPGGA,42.34076666666667,-71.097595,7.1,327208.44287286326,4689743.151446124,19,T
2022/02/08/14:03:56.856086,$GPGGA,42.340775,-71.09758333333333,7.0,327209.4267948038,4689744.053090809,19,T
2022/02/08/14:03:57.861211,$GPGGA,42.340783333333334,-71.09757333333333,6.9,327210.2734173525,4689744.958122665,19,T
2022/02/08/14:03:58.861964,$GPGGA,42.34079166666667,-71.09756166666666,6.9,327211.25733880885,4689745.859767594,19,T
2022/02/08/14:03:59.831770,$GPGGA,42.34080000000001,-71.09755,6.8,327212.241260014,4689746.761412659,19,T
2022/02/08/14:04:00.860931,$GPGGA,42.34081,-71.09754,6.8,327213.09244733304,4689747.851515664,19,T
